China	1,415,045,928	151	9,388,211	37
India	1,354,051,854	455	2,973,190	27
U.S.	326,766,748	36	9,147,420	38
Indonesia	266,794,980	147	1,811,570	28
Brazil	210,867,954	25	8,358,140	31
Pakistan	200,813,818	260	770,880	22
Nigeria	195,875,237	215	910,770	18
Bangladesh	166,368,149	1,278	130,170	26
Russia	143,964,709	9	16,376,870	39
Mexico	130,759,074	67	1,943,950	28
Japan	127,185,332	349	364,555	46
Ethiopia	107,534,882	108	1,000,000	19
Philippines	106,512,074	357	298,170	24
Egypt	99,375,741	100	995,450	25
Viet Nam	96,491,146	311	310,070	30
DR Congo	84,004,989	37	2,267,050	17
Germany	82,293,457	236	348,560	46
Iran	82,011,735	50	1,628,550	30
Turkey	81,916,871	106	769,630	30
Thailand	69,183,173	135	510,890	38
U.K.	66,573,504	275	241,930	40
France	65,233,271	119	547,557	41
taly	59,290,969	202	294,140	46
Tanzania	59,091,392	67	885,800	17
South Africa	57,398,421	47	1,213,090	26
South Korea	51,164,435	526	97,230	41
Kenya	50,950,879	90	569,140	19
Colombia	49,464,683	45	1,109,500	30
Spain	46,397,452	93	498,800	43
Argentina	44,688,864	16	2,736,690	31
Uganda	44,270,563	222	199,810	16
Ukraine	44,009,214	76	579,320	40
Algeria	42,008,054	18	2,381,740	28
Sudan	41,511,526	24	1,765,048	19
Iraq	39,339,753	91	434,320	19
Poland	38,104,832	124	306,230	40

